AIRPORT_SEQ_ID,AIRPORT_ID,AIRPORT_NAME,AIRPORT_DISPLAY_NAME,AIRPORT_CITY,AIRPORT_COUNTRY,AIRPORT_STATE,AIRPORT_COORDINATES,WEATHER_STATION_ID,WEATHER_STATION_NAME,WEATHER_COORDINATES,WEATHER_ADMIN1,WEATHER_ADMIN2,WEATHER_COUNTRY,WEATHER_STATE,DISTANCE_KM
1013501,10135,ABE,Lehigh Valley International,"Allentown/Bethlehem/Easton, PA",United States,Pennsylvania,"(40.65472222, -75.43833333)",72517014737,"ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","(40.65482, -75.47463)",Pennsylvania,Lehigh County,US,PA,3.0619303053918623
1013501,10135,ABE,Lehigh Valley International,"Allentown/Bethlehem/Easton, PA",United States,Pennsylvania,"(40.65472222, -75.43833333)",72032464753,"QUAKERTOWN AIRPORT, PA US","(40.44177, -75.34157)",Pennsylvania,Bucks County,US,PA,25.050903972836707
1013501,10135,ABE,Lehigh Valley International,"Allentown/Bethlehem/Easton, PA",United States,Pennsylvania,"(40.65472222, -75.43833333)",72511354786,"DOYLESTOWN AIRPORT, PA US","(40.31011, -75.12989)",Pennsylvania,Bucks County,US,PA,46.35586375509606
1013501,10135,ABE,Lehigh Valley International,"Allentown/Bethlehem/Easton, PA",United States,Pennsylvania,"(40.65472222, -75.43833333)",72510954782,"HERITAGE FIELD AIRPORT, PA US","(40.23093, -75.52212)",Pennsylvania,Montgomery County,US,PA,47.653987702340686
1013501,10135,ABE,Lehigh Valley International,"Allentown/Bethlehem/Easton, PA",United States,Pennsylvania,"(40.65472222, -75.43833333)",72543454789,"POCONO MOUNTAINS MUNICIPAL AIRPORT, PA US","(41.12203, -75.36463)",Pennsylvania,Monroe County,US,PA,52.33030770035989
1013501,10135,ABE,Lehigh Valley International,"Allentown/Bethlehem/Easton, PA",United States,Pennsylvania,"(40.65472222, -75.43833333)",72510314712,"READING REGIONAL AIRPORT, PA US","(40.39259, -75.95882)",Pennsylvania,Berks County,US,PA,52.77300291696249
1013501,10135,ABE,Lehigh Valley International,"Allentown/Bethlehem/Easton, PA",United States,Pennsylvania,"(40.65472222, -75.43833333)",72030464752,"WINGS FIELD, PA US","(40.10233, -75.27435)",Pennsylvania,Montgomery County,US,PA,62.97419767997515
1013501,10135,ABE,Lehigh Valley International,"Allentown/Bethlehem/Easton, PA",United States,Pennsylvania,"(40.65472222, -75.43833333)",72224754785,"SOMERSET AIRPORT, NJ US","(40.60079, -74.64815)",New Jersey,Somerset County,US,NJ,66.95407304467793
1013501,10135,ABE,Lehigh Valley International,"Allentown/Bethlehem/Easton, PA",United States,Pennsylvania,"(40.65472222, -75.43833333)",72409514792,"TRENTON MERCER AIRPORT, NJ US","(40.26983, -74.79988)",New Jersey,Mercer County,US,NJ,68.91373747292772
1013501,10135,ABE,Lehigh Valley International,"Allentown/Bethlehem/Easton, PA",United States,Pennsylvania,"(40.65472222, -75.43833333)",72407754779,"AEROFLEX ANDOVER AIRPORT, NJ US","(41.05815, -74.75267)",New Jersey,Sussex County,US,NJ,73.05914820784461
1013601,10136,ABI,Abilene Regional,"Abilene, TX",United States,Texas,"(32.40944444, -99.67972222)",72266013962,"ABILENE REGIONAL AIRPORT, TX US","(32.44874, -99.73314)",Texas,Taylor County,US,TX,6.650377971226341
